,Country(Entity),Year,Code,Rate: Schizophrenia,Rate: Depressive disorders,Rate: Anxiety disorders,Rate: Bipolar disorders,Rate: Eating disorders,DALYs: Schizophrenia,DALYs: Depressive disorders,DALYs: Anxiety disorders,DALYs: Bipolar disorder,DALYs: Eating disorders,Country,cluster
103,Lithuania,2019,LTU,0.2884198,3.9911947,4.2541876,0.5211538,0.17335068,185.36311,702.435,407.15076,112.60585,37.067364,Lithuania,dark purple
104,Luxembourg,2019,LUX,0.2819182,3.2193074,5.2770224,0.896122,0.5688226,179.35359,542.15045,505.00296,192.58974,122.127884,Luxembourg,dark purple
105,Madagascar,2019,MDG,0.21233796,4.737187,3.9632103,0.59737605,0.086541794,136.23373,823.2693,378.5086,129.03984,18.570667,Madagascar,purple
106,Malawi,2019,MWI,0.20184024,4.100136,3.8456526,0.5773636,0.0793044,128.55537,684.9063,366.02643,124.23833,17.069988,Malawi,dark purple
107,Malaysia,2019,MYS,0.316804,3.6630948,4.5992527,0.33939177,0.15047508,204.7591,611.6648,439.80783,73.32001,32.365715,Malaysia,dark purple
108,Maldives,2019,MDV,0.31349456,2.9122725,3.5796337,0.33861485,0.1219199,203.80487,459.45132,344.0901,73.70553,26.274586,Maldives,pink
109,Mali,2019,MLI,0.21123697,3.5413845,2.7260087,0.5419619,0.092865065,135.94405,583.2502,261.37875,117.23054,19.916794,Mali,pink
110,Malta,2019,MLT,0.27710927,3.1311812,6.2475963,0.9121692,0.42228425,176.87582,525.511,598.2675,196.04474,90.18078,Malta,dark purple
111,Marshall Islands,2019,MHL,0.27260956,2.8873966,4.0164247,0.26586974,0.08263287,173.55695,442.73434,381.21692,56.823063,17.779163,Marshall Islands,pink
112,Mauritania,2019,MRT,0.22032183,3.6558447,2.7462342,0.5560791,0.1137088,142.08527,609.07904,264.3778,120.61855,24.365778,Mauritania,pink
113,Mauritius,2019,MUS,0.3104569,3.8047628,3.8150282,0.33751646,0.13929899,198.58032,636.81433,362.9281,72.519394,29.744638,Mauritius,dark purple
114,Mexico,2019,MEX,0.28389058,3.5358298,3.5132816,0.9148764,0.24183847,181.26976,630.57764,335.56158,197.74222,51.58207,Mexico,dark purple
115,Micronesia (country),2019,FSM,0.26928583,2.909947,4.0343943,0.26449215,0.08010233,172.42331,448.35782,384.40808,56.650066,17.253693,Micronesia (country),pink
116,Moldova,2019,MDA,0.26885495,3.22074,4.078755,0.5182467,0.10844338,172.97597,540.8286,390.62427,112.205925,24.426199,Moldova,pink
117,Monaco,2019,MCO,0.29540223,4.0564504,5.501611,0.90075177,0.8699128,187.83234,719.1517,526.79407,193.573,184.88684,Monaco,dark purple
118,Mongolia,2019,MNG,0.27248925,3.9632094,2.1429229,0.49995935,0.13303629,175.10106,700.2731,205.45448,108.381454,28.54045,Mongolia,purple
119,Montenegro,2019,MNE,0.2888891,2.8178656,3.6586478,0.54094183,0.15447724,185.24132,458.3942,349.85477,117.18692,33.21832,Montenegro,pink
120,Morocco,2019,MAR,0.24282132,5.07854,4.7997293,0.745084,0.18633235,155.29015,934.5825,460.46152,160.63202,39.536774,Morocco,purple
121,Mozambique,2019,MOZ,0.20393638,4.992671,4.035234,0.5785625,0.0839527,128.2202,865.3616,381.51675,123.32685,17.854473,Mozambique,purple
122,Myanmar,2019,MMR,0.27820054,2.1933033,3.9770174,0.3167098,0.09567405,179.12164,298.18686,379.27448,68.31429,20.625309,Myanmar,pink
123,Namibia,2019,NAM,0.22256449,3.6164615,3.49189,0.5531963,0.16063276,140.65012,592.73083,331.12424,118.36268,34.071205,Namibia,pink
124,Nauru,2019,NRU,0.28296125,3.1496468,4.0565453,0.2611896,0.112175204,181.0317,497.94717,386.97192,56.059853,23.991028,Nauru,pink
125,Nepal,2019,NPL,0.26699284,4.8975983,3.2773163,0.38390607,0.10316985,169.46042,874.04456,309.5074,82.25667,22.053959,Nepal,purple
126,Netherlands,2019,NLD,0.36796945,3.5344012,6.7548013,0.78764594,0.38367063,235.20497,616.81335,648.31116,170.14058,83.7269,Netherlands,dark purple
127,New Zealand,2019,NZL,0.3886144,3.7238638,7.263469,1.5064018,0.6033723,247.1495,658.14215,691.54395,324.1498,127.375534,New Zealand,dark purple
128,Nicaragua,2019,NIC,0.27072757,3.2548654,4.3657975,0.8515433,0.16589764,173.16185,576.9309,418.06006,184.63379,35.45871,Nicaragua,dark purple
129,Niger,2019,NER,0.20768712,4.235215,2.9678462,0.54284483,0.078765206,133.7769,730.0042,284.90048,117.581535,16.98439,Niger,purple
130,Nigeria,2019,NGA,0.22260755,3.8173978,2.9917774,0.5542446,0.12942946,142.45244,639.5516,285.8011,119.29514,27.551727,Nigeria,pink
131,Niue,2019,NIU,0.29637173,3.1407,4.0224557,0.275173,0.118197,189.21573,495.43948,382.396,58.881645,25.283674,Niue,pink
